transaction_id,product_id,quantity,product_name,category,cost_price,selling_price,customer_id,transaction_date,revenue,profit,month
1,13,3,Butter,Dairy,8.41,11.82,103,6/7/2024,35.46,10.23,2024-06
1,11,1,Coffee,Beverages,0.7,1.06,103,6/7/2024,1.06,0.36,2024-06
1,5,3,Olive Oil,Grocery,1.98,2.61,103,6/7/2024,7.83,1.89,2024-06
1,10,3,Apples,Fruits,7.23,9.99,103,6/7/2024,29.97,8.28,2024-06
2,11,1,Coffee,Beverages,0.7,1.06,436,5/31/2024,1.06,0.36,2024-05
2,4,3,Yogurt,Dairy,6.19,8.5,436,5/31/2024,25.5,6.93,2024-05
2,6,1,Pasta,Grocery,1.98,2.86,436,5/31/2024,2.86,0.88,2024-05
3,8,2,Chicken,Meat,8.73,11.5,349,4/17/2024,23,5.54,2024-04
3,6,2,Pasta,Grocery,1.98,2.86,349,4/17/2024,5.72,1.76,2024-04
4,5,1,Olive Oil,Grocery,1.98,2.61,271,7/6/2024,2.61,0.63,2024-07
4,12,2,Sugar,Grocery,9.71,12.43,271,7/6/2024,24.86,5.44,2024-07
4,6,1,Pasta,Grocery,1.98,2.86,271,7/6/2024,2.86,0.88,2024-07
4,12,1,Sugar,Grocery,9.71,12.43,271,7/6/2024,12.43,2.72,2024-07
5,11,3,Coffee,Beverages,0.7,1.06,107,10/27/2024,3.18,1.08,2024-10
6,12,3,Sugar,Grocery,9.71,12.43,72,4/7/2024,37.29,8.16,2024-04
6,14,2,Juice,Beverages,2.52,3.62,72,4/7/2024,7.24,2.2,2024-04
7,12,3,Sugar,Grocery,9.71,12.43,189,5/10/2024,37.29,8.16,2024-05
7,4,1,Yogurt,Dairy,6.19,8.5,189,5/10/2024,8.5,2.31,2024-05
7,3,1,Feta Cheese,Dairy,7.45,10.5,189,5/10/2024,10.5,3.05,2024-05
8,7,1,Rice,Grocery,1.05,1.32,21,10/19/2024,1.32,0.27,2024-10
8,9,3,Eggs,Dairy,6.21,8.36,21,10/19/2024,25.08,6.45,2024-10
8,2,1,Bread,Bakery,9.53,12.6,21,10/19/2024,12.6,3.07,2024-10
9,14,2,Juice,Beverages,2.52,3.62,103,6/19/2024,7.24,2.2,2024-06
9,10,1,Apples,Fruits,7.23,9.99,103,6/19/2024,9.99,2.76,2024-06
9,10,1,Apples,Fruits,7.23,9.99,103,6/19/2024,9.99,2.76,2024-06
9,2,3,Bread,Bakery,9.53,12.6,103,6/19/2024,37.8,9.21,2024-06
10,7,1,Rice,Grocery,1.05,1.32,122,7/1/2024,1.32,0.27,2024-07
10,8,3,Chicken,Meat,8.73,11.5,122,7/1/2024,34.5,8.31,2024-07
10,3,2,Feta Cheese,Dairy,7.45,10.5,122,7/1/2024,21,6.1,2024-07
10,1,2,Milk,Dairy,4.06,5.17,122,7/1/2024,10.34,2.22,2024-07
11,2,2,Bread,Bakery,9.53,12.6,467,12/29/2024,25.2,6.14,2024-12
11,6,2,Pasta,Grocery,1.98,2.86,467,12/29/2024,5.72,1.76,2024-12
11,10,2,Apples,Fruits,7.23,9.99,467,12/29/2024,19.98,5.52,2024-12
11,13,3,Butter,Dairy,8.41,11.82,467,12/29/2024,35.46,10.23,2024-12
12,10,2,Apples,Fruits,7.23,9.99,215,2/8/2024,19.98,5.52,2024-02
12,10,2,Apples,Fruits,7.23,9.99,215,2/8/2024,19.98,5.52,2024-02
13,14,3,Juice,Beverages,2.52,3.62,331,1/15/2024,10.86,3.3,2024-01
13,15,2,Soft Drinks,Beverages,2.23,2.72,331,1/15/2024,5.44,0.98,2024-01
13,7,1,Rice,Grocery,1.05,1.32,331,1/15/2024,1.32,0.27,2024-01
13,14,1,Juice,Beverages,2.52,3.62,331,1/15/2024,3.62,1.1,2024-01
14,2,3,Bread,Bakery,9.53,12.6,459,1/4/2024,37.8,9.21,2024-01
14,5,2,Olive Oil,Grocery,1.98,2.61,459,1/4/2024,5.22,1.26,2024-01
14,9,1,Eggs,Dairy,6.21,8.36,459,1/4/2024,8.36,2.15,2024-01
14,9,1,Eggs,Dairy,6.21,8.36,459,1/4/2024,8.36,2.15,2024-01
14,15,1,Soft Drinks,Beverages,2.23,2.72,459,1/4/2024,2.72,0.49,2024-01
15,9,3,Eggs,Dairy,6.21,8.36,88,12/14/2024,25.08,6.45,2024-12
16,8,1,Chicken,Meat,8.73,11.5,373,7/28/2024,11.5,2.77,2024-07
17,8,3,Chicken,Meat,8.73,11.5,100,6/9/2024,34.5,8.31,2024-06
17,11,3,Coffee,Beverages,0.7,1.06,100,6/9/2024,3.18,1.08,2024-06
17,1,3,Milk,Dairy,4.06,5.17,100,6/9/2024,15.51,3.33,2024-06
17,3,1,Feta Cheese,Dairy,7.45,10.5,100,6/9/2024,10.5,3.05,2024-06
18,5,2,Olive Oil,Grocery,1.98,2.61,360,1/16/2024,5.22,1.26,2024-01
18,7,2,Rice,Grocery,1.05,1.32,360,1/16/2024,2.64,0.54,2024-01
18,9,3,Eggs,Dairy,6.21,8.36,360,1/16/2024,25.08,6.45,2024-01
19,8,2,Chicken,Meat,8.73,11.5,152,4/17/2024,23,5.54,2024-04
20,7,3,Rice,Grocery,1.05,1.32,131,11/6/2024,3.96,0.81,2024-11
21,3,2,Feta Cheese,Dairy,7.45,10.5,150,8/14/2024,21,6.1,2024-08
21,11,3,Coffee,Beverages,0.7,1.06,150,8/14/2024,3.18,1.08,2024-08
21,1,3,Milk,Dairy,4.06,5.17,150,8/14/2024,15.51,3.33,2024-08
21,5,3,Olive Oil,Grocery,1.98,2.61,150,8/14/2024,7.83,1.89,2024-08
21,14,3,Juice,Beverages,2.52,3.62,150,8/14/2024,10.86,3.3,2024-08
